query,persona
Explain DNS and how it works,teacher
What is virtualization in cloud computing?,teacher
Give important topics for DBMS exam,teacher
Explain deadlock with example,teacher
What is machine learning in simple words?,teacher
List top networking questions for MCQ test,teacher
Explain data structures for beginners,teacher
What is operating system scheduling?,teacher
Explain OOP concepts and their use in jobs,"teacher, senior"
Teach me SQL and how it helps in placements,"teacher,senior"
What should I eat to stay healthy during exams?,"parent,counselor"
How to maintain a good daily routine?,parent
Suggest simple food I can cook at hostel,parent
How to manage time at home and studies?,parent
"I am not sleeping well these days, what should I do?","parent,counselor"
How to reduce mobile usage and focus more?,parent
My parents scold me for low marks,"parent,counselor"
How to take care of health during stress?,"parent,counselor"
What are some healthy snacks?,parent
How to balance food and studies?,"parent,counselor"
What career options do I have after engineering?,senior
I don’t know which field to choose for my future,"senior,counselor"
How to prepare for software interviews?,senior
What skills are required for data science?,senior
Guide me for higher studies after graduation,senior
Should I go for a job or masters?,"senior,counselor"
Teach me Python and guide my career,"teacher,senior"
What certifications help in IT jobs?,senior
I feel scared about my career path,"senior,counselor"
How to build a strong resume as a fresher?,senior
"I’m bored, can you chat with me?",friend
Say something funny,friend
Just talk to me for a while,friend
"I had a bad day, keep me company","friend,counselor"
"Tell me a joke, I’m feeling low","friend,counselor"
Let’s have a casual chat,friend
"Make me laugh, I’m tired",friend
"I feel lonely, talk to me","friend,counselor"
"What’s up, I’m free now",friend
"Just bored, entertain me",friend
I am very stressed about my exams,"counselor,parent"
I feel anxious about my future,"counselor,senior"
I feel depressed after getting low marks,"counselor,parent"
I feel lost and don’t know what to do,"counselor,senior"
I am overthinking everything,counselor
I feel like giving up on my dreams,"counselor,senior"
I can’t handle pressure anymore,counselor
I feel lonely and sad today,"counselor,friend"
I am scared of failing in life,"counselor,senior"
I need someone to motivate me,"counselor,friend"
Explain the difference between HTTP and HTTPS,teacher
What is a compiler and how does it work?,teacher
Explain paging and segmentation in OS,teacher
What is a data warehouse?,teacher
Explain quicksort algorithm,teacher
Give important questions for computer networks exam,teacher
What is a microprocessor?,teacher
Explain normalization in DBMS with example,teacher
What is cybersecurity?,teacher
Explain binary search algorithm,teacher
How to cook simple vegetable curry,parent
Suggest healthy lunch ideas,parent
How to wake up early daily,parent
Tips to avoid junk food,parent
How to stay fit at home without gym,parent
How to manage time between home and studies,parent
What food gives energy for studying,parent
How to keep my room clean,parent
Suggest a good sleep routine,parent
How to improve immunity at home,parent
What jobs are good after computer science,senior
How to start preparing for internships,senior
What is the future of AI careers,senior
How to grow professionally in IT,senior
Which field has more scope in engineering,senior
How to plan long term career goals,senior
Should I learn web development or data science,senior
How to switch my career to IT,senior
What are the best certifications for freshers,senior
How to become successful in life,senior
Tell me something interesting,friend
I just want to chat,friend
Make me smile,friend
"I’m free now, talk to me",friend
Say something cool,friend
Can you keep me company,friend
I feel bored at hostel,friend
Let’s have fun chatting,friend
"Talk to me, I’m alone",friend
Tell me a fun fact,friend
I feel stressed about my parents expectations,"counselor,parent"
I am scared about my career future,"counselor,senior"
I feel very low after failing my test,"counselor,parent"
I don’t know what to do in life,"counselor,senior"
I am mentally exhausted these days,counselor
I feel hopeless and sad,counselor
I am worried about disappointing my parents,"counselor,parent"
I feel nervous about interviews,"counselor,senior"
I need emotional support right now,"counselor,friend"
I feel alone even when people are around,"counselor,friend"
Explain what is a deadlock in operating systems,teacher
What is the difference between stack and queue,teacher
Explain inheritance in object oriented programming,teacher
Give key topics for computer architecture exam,teacher
What is a hash table and how does it work,teacher
Explain recursion in simple terms,teacher
What is a relational database,teacher
Explain the basics of artificial intelligence,teacher
What is a data structure,teacher
Explain the concept of time complexity,teacher
How to prepare a simple breakfast at home,parent
What food is good for energy in mornings,parent
How to create a healthy daily routine,parent
Tips to maintain discipline at home,parent
How to avoid unhealthy eating habits,parent
Suggest simple dinner ideas for students,parent
How to manage screen time at home,parent
How to take care of health during busy days,parent
What are good habits to follow daily,parent
How to keep myself active at home,parent
What should I do to choose the right career,senior
How to prepare for campus placements,senior
What skills are needed for a software engineer,senior
Guide me on career options after graduation,senior
How to improve communication for interviews,senior
What are good career paths in IT field,senior
How to plan goals for the next five years,senior
What is the roadmap to become a developer,senior
How to grow professionally as a fresher,senior
What should I focus on for long term success,senior
Just chat with me for some time,friend
Tell me something funny,friend
I’m feeling bored right now,friend
"Talk to me, I need company",friend
Make me laugh please,friend
Let’s have a friendly conversation,friend
"I’m free now, let’s talk",friend
Can you keep me entertained,friend
Say something interesting,friend
Just here to talk casually,friend
I feel stressed and need someone to listen,counselor
I feel very lonely today,counselor
I am worried about my future career,"counselor,senior"
I feel low after getting poor marks,"counselor,parent"
I am anxious about upcoming exams,"counselor,parent"
I don’t feel confident in myself,counselor
I feel scared of failing in life,"counselor,senior"
I am mentally tired and exhausted,counselor
I need emotional support right now,"counselor,friend"
I feel sad and want to talk,"counselor,friend"
Explain the concept of virtual memory in OS,teacher
What is the difference between primary and secondary memory,teacher
Explain the working of a CPU,teacher
What is normalization in databases,teacher
Explain breadth first search algorithm,teacher
What is an operating system kernel,teacher
Explain object oriented programming in simple words,teacher
What is the role of an assembler,teacher
Explain the concept of multithreading,teacher
What is a computer network,teacher
How to cook simple rice at home,parent
Suggest healthy evening snacks,parent
How to maintain personal hygiene daily,parent
Tips to stay active at home,parent
How to make a balanced diet for students,parent
How to manage time between study and rest,parent
What food helps in better concentration,parent
How to improve sleep quality naturally,parent
How to reduce junk food cravings,parent
How to build good habits at home,parent
What career options are available after science,senior
How to choose between job and higher studies,senior
What are important skills for fresh graduates,senior
Guide me on how to start my career,senior
What is the roadmap to become a data analyst,senior
How to prepare for technical interviews,senior
What fields have good scope in future,senior
How to develop leadership skills,senior
What should I learn in my final year,senior
How to set career goals for myself,senior
Let’s just have a friendly chat,friend
Tell me something fun,friend
"I’m feeling bored, talk to me",friend
Can you keep me company for a while,friend
Say something cheerful,friend
I want to talk casually,friend
Make me smile today,friend
"I’m free now, let’s chat",friend
Just here to have a chat,friend
Entertain me with something nice,friend
I feel very anxious today,counselor
I am stressed and don’t know what to do,counselor
I feel lonely and need someone to talk,"counselor,friend"
I am worried about my exams and health,"counselor,parent"
I feel confused about my career future,"counselor,senior"
I am mentally exhausted these days,counselor
I feel low and unmotivated,counselor
I am scared about failing my exams,"counselor,parent"
I feel nervous about my future job,"counselor,senior"
I need emotional support right now,"counselor,friend"
Explain what is paging in operating systems,teacher
What is the difference between process and thread,teacher
Explain the concept of normalization in DBMS,teacher
What is a deadlock prevention technique,teacher
Explain the basics of computer networks,teacher
What is the function of an operating system,teacher
Explain the working of RAM and ROM,teacher
What is a data model in DBMS,teacher
Explain merge sort algorithm,teacher
What is artificial intelligence in simple terms,teacher
How to prepare healthy breakfast quickly,parent
What are good foods for strong immunity,parent
How to keep yourself hydrated daily,parent
Tips to avoid late night sleeping,parent
How to manage household chores with studies,parent
What food helps reduce tiredness,parent
How to stay fit without exercise equipment,parent
How to maintain cleanliness in room,parent
Suggest easy lunch ideas for students,parent
How to create a good sleep routine,parent
What are career options in software industry,senior
How to prepare for coding interviews,senior
What should I focus on in my first job,senior
Guide me on choosing my specialization,senior
How to improve technical skills as a fresher,senior
What is the future of cloud computing careers,senior
How to start building professional network,senior
What should I learn to grow in IT field,senior
How to handle career pressure,senior
How to set long term career goals,senior
"Just talk to me, I’m bored",friend
Tell me something funny to cheer me up,friend
I want to have a casual conversation,friend
Can you keep me company right now,friend
Say something interesting for me,friend
"I’m free now, let’s chat",friend
"Talk to me, I feel bored",friend
Make me laugh a bit,friend
I just want to chat,friend
Entertain me please,friend
I feel stressed about my future plans,"counselor,senior"
I am worried about my health these days,"counselor,parent"
I feel lonely and need someone to talk to,"counselor,friend"
I am anxious about my exams,"counselor,parent"
I feel confused about my career path,"counselor,senior"
I am emotionally exhausted,counselor
I feel low after getting poor results,"counselor,parent"
